ts,datetime_utc,equity,B&H BTC (OOS),B&H BTC filtrado (OOS)
1627790399999,2021-08-01 03:59,10000,10219.3922905622000000,10000.00000000
1627804799999,2021-08-01 07:59,10000,10042.6624950644000000,10000.00000000
1627819199999,2021-08-01 11:59,10000,10015.1489311694000000,10000.00000000
1627833599999,2021-08-01 15:59,10000,9942.8960246012000000,10000.00000000
1627847999999,2021-08-01 19:59,10000,9937.2054730490000000,10000.00000000
1627862399999,2021-08-01 23:59,10000,9595.7458898336000000,10000.00000000
1627876799999,2021-08-02 03:59,10000,9581.3328762746000000,10000.00000000
1627891199999,2021-08-02 07:59,10000,9658.1204034830000000,10000.00000000
1627905599999,2021-08-02 11:59,10000,9522.7729346348000000,10000.00000000
1627919999999,2021-08-02 15:59,10000,9561.9541761728000000,10000.00000000
1627934399999,2021-08-02 19:59,10000,9434.9775736790000000,10000.00000000
1627948799999,2021-08-02 23:59,10000,9427.7457809108000000,10000.00000000
1627963199999,2021-08-03 03:59,10000,9309.2435969156000000,10000.00000000
1627977599999,2021-08-03 07:59,10000,9294.2405769536000000,10000.00000000
1627991999999,2021-08-03 11:59,10000,9269.3326739894000000,10000.00000000
1628006399999,2021-08-03 15:59,10000,9192.1333463936000000,10000.00000000
1628020799999,2021-08-03 19:59,10000,9154.0670965478000000,10000.00000000
1628035199999,2021-08-03 23:59,10000,9201.1905467270000000,10000.00000000
1628049599999,2021-08-04 03:59,10000,9145.7443939814000000,10000.00000000
1628063999999,2021-08-04 07:59,10000,9110.1104154296000000,10000.00000000
1628078399999,2021-08-04 11:59,10000,9189.8744647364000000,10000.00000000
1628092799999,2021-08-04 15:59,10000,9464.8752450800000000,10000.00000000
1628107199999,2021-08-04 19:59,10000,9573.2847072998000000,10000.00000000
1628121599999,2021-08-04 23:59,10000,9566.3033662292000000,10000.00000000
1628135999999,2021-08-05 03:59,10000,9496.9258378046000000,10000.00000000
1628150399999,2021-08-05 07:59,10000,9360.9835461746000000,10000.00000000
1628164799999,2021-08-05 11:59,10000,9153.3470479172000000,10000.00000000
1628179199999,2021-08-05 15:59,10000,9331.9455983894000000,10000.00000000
1628193599999,2021-08-05 19:59,10000,9799.6713682256000000,10000.00000000
1628207999999,2021-08-05 23:59,10000,9840.6635681924000000,10000.00000000
1628222399999,2021-08-06 03:59,10000,9685.8193979618000000,10000.00000000
1628236799999,2021-08-06 07:59,10000,9808.6659556346000000,10000.00000000
1628251199999,2021-08-06 11:59,10000,9755.1969263864000000,10000.00000000
1628265599999,2021-08-06 15:59,10000,10162.7637168212000000,10000.00000000
1628279999999,2021-08-06 19:59,10000,10331.6235493598000000,10000.00000000
1628294399999,2021-08-06 23:59,10000,10316.1388915178000000,10000.00000000
1628308799999,2021-08-07 03:59,10000,10522.0366770284000000,10000.00000000
1628323199999,2021-08-07 07:59,10000,10405.4875346366000000,10000.00000000
1628337599999,2021-08-07 11:59,10000,10548.0860617682000000,10000.00000000
1628351999999,2021-08-07 15:59,10000,10444.5820813562000000,10000.00000000
1628366399999,2021-08-07 19:59,10000,10579.7248541054000000,10000.00000000
1628380799999,2021-08-07 23:59,10000,10734.1211011076000000,10000.00000000
1628395199999,2021-08-08 03:59,10000,10673.8874678348000000,10000.00000000
1628409599999,2021-08-08 07:59,10000,10789.9838706194000000,10000.00000000
1628423999999,2021-08-08 11:59,10000,10705.1072352164000000,10000.00000000
1628438399999,2021-08-08 15:59,10000,10592.5219725770000000,10000.00000000
1628452799999,2021-08-08 19:59,10000,10527.6333091940000000,10000.00000000
1628467199999,2021-08-08 23:59,10000,10546.7230265678000000,10000.00000000
1628481599999,2021-08-09 03:59,10000,10474.8915531446000000,10000.00000000
1628495999999,2021-08-09 07:59,10000,10548.2570432156000000,10000.00000000
1628510399999,2021-08-09 11:59,10000,11061.0255875894000000,10000.00000000
1628524799999,2021-08-09 15:59,10000,11046.7546572050000000,10000.00000000
1628539199999,2021-08-09 19:59,10000,11073.0280035590000000,10000.00000000
1628553599999,2021-08-09 23:59,10000,11138.9040245960000000,10000.00000000
1628567999999,2021-08-10 03:59,9934.2091759696000000,11007.7443971144000000,9868.4000834764000000
1628582399999,2021-08-10 07:59,9960.0308180800000000,11065.3579203200000000,9920.0505377200000000
1628596799999,2021-08-10 11:59,9894.9532427980000000,10920.1561404470000000,9789.8773167445000000
1628611199999,2021-08-10 15:59,9875.5988837308000000,10876.9724881262000000,9751.1632243897000000
1628625599999,2021-08-10 19:59,9911.2164305308000000,10956.4427383262000000,9822.4082080897000000
1628639999999,2021-08-10 23:59,9920.8504372804000000,10977.9382369106000000,9841.6788967111000000
1628654399999,2021-08-11 03:59,9920.9227516936000000,10978.0995856004000000,9841.8235456174000000
1628668799999,2021-08-11 07:59,10003.3385170300000000,11161.9865199950000000,10006.6779610825000000
1628683199999,2021-08-11 11:59,9957.4490855968000000,11059.5975312752000000,9914.8863558712000000
1628697599999,2021-08-11 15:59,10014.8624123992000000,11187.6987582188000000,10029.7289517178000000
1628711999999,2021-08-11 19:59,10013.9967980800000000,11185.7673903200000000,10027.9974827200000000
1628726399999,2021-08-11 23:59,9912.8645515600000000,10960.1200435400000000,9825.7049077900000000
1628740799999,2021-08-12 03:59,9957.7642469200000000,11060.3007225800000000,9915.5167660300000000
1628755199999,2021-08-12 07:59,9884.0046247756000000,10895.7274671734000000,9767.9770405429000000
1628769599999,2021-08-12 11:59,9831.0046358176000000,10777.4733266864000000,9661.9623458584000000
1628783999999,2021-08-12 15:59,9770.9545312324000000,10643.4888930386000000,9541.8454622791000000
1628798399999,2021-08-12 19:59,9789.8566553872000000,10685.6635140008000000,9579.6549592348000000
1628812799999,2021-08-12 23:59,9792.8442120400000000,10692.3293822600000000,9585.6309021100000000
1628827199999,2021-08-13 03:59,9785.68476915,10800.2788803044000000,9571.31138246
1628841599999,2021-08-13 07:59,9785.68476915,11102.8076736794000000,9571.31138246
1628855999999,2021-08-13 11:59,9785.68476915,11111.2267038218000000,9571.31138246
1628870399999,2021-08-13 15:59,9785.68476915,11163.8889896210000000,9571.31138246
1628884799999,2021-08-13 19:59,9785.68476915,11188.6235029484000000,9571.31138246
1628899199999,2021-08-13 23:59,9785.68476915,11511.3545972000000000,9571.31138246
1628913599999,2021-08-14 03:59,9751.7794801500000000,11448.7416728000000000,9504.9822965600000000
1628927999999,2021-08-14 07:59,9759.5587690740000000,11467.0728105128000000,9520.2009582644000000
