ts,datetime_utc,equity,B&H BTC,B&H BTC filtrado
1564631999999,2019-08-01 03:59,10000,9893.3650626898000000,10000.00000000
1564646399999,2019-08-01 07:59,10000,9865.7989331131000000,10000.00000000
1564660799999,2019-08-01 11:59,10000,9868.4436174814000000,10000.00000000
1564675199999,2019-08-01 15:59,10000,9918.9600604714000000,10000.00000000
1564689599999,2019-08-01 19:59,10000,10186.2712853677000000,10000.00000000
1564703999999,2019-08-01 23:59,10000,10276.6660027651000000,10000.00000000
1564718399999,2019-08-02 03:59,10000,10237.8178675873000000,10000.00000000
1564732799999,2019-08-02 07:59,10000,10431.6425257105000000,10000.00000000
1564747199999,2019-08-02 11:59,10000,10367.9719971733000000,10000.00000000
1564761599999,2019-08-02 15:59,10000,10511.5674626686000000,10000.00000000
1564775999999,2019-08-02 19:59,10000,10345.4277963409000000,10000.00000000
1564790399999,2019-08-02 23:59,10000,10424.0155333375000000,10000.00000000
1564804799999,2019-08-03 03:59,10000,10676.3699290348000000,10000.00000000
1564819199999,2019-08-03 07:59,10000,10725.1628698522000000,10000.00000000
1564833599999,2019-08-03 11:59,10000,10642.0979892808000000,10000.00000000
1564847999999,2019-08-03 15:59,10000,10631.3310532945000000,10000.00000000
1564862399999,2019-08-03 19:59,10000,10747.7665017940000000,10000.00000000
1564876799999,2019-08-03 23:59,10000,10714.3464079414000000,10000.00000000
1564891199999,2019-08-04 03:59,10000,10653.0927445198000000,10000.00000000
1564905599999,2019-08-04 07:59,10000,10568.8788625000000000,10000.00000000
1564919999999,2019-08-04 11:59,10000,10567.4525158744000000,10000.00000000
1564934399999,2019-08-04 15:59,10000,10840.4295065335000000,10000.00000000
1564948799999,2019-08-04 19:59,10000,10817.6376760786000000,10000.00000000
1564963199999,2019-08-04 23:59,10000,10825.6509706627000000,10000.00000000
1564977599999,2019-08-05 03:59,10000,11453.3821585153000000,10000.00000000
1564991999999,2019-08-05 07:59,10000,11560.5859746880000000,10000.00000000
1565006399999,2019-08-05 11:59,10000,11666.0167627636000000,10000.00000000
1565020799999,2019-08-05 15:59,10000,11638.6091161453000000,10000.00000000
1565035199999,2019-08-05 19:59,10000,11641.0556968156000000,10000.00000000
1565049599999,2019-08-05 23:59,10000,11716.6916887120000000,10000.00000000
