ts,datetime_utc,equity,B&H BTC,Equiponderado,B&H BTC filtrado
1564631999999,2019-08-01 03:59,10000,9878.5549801594000000,9878.4845451310000000,10000.00000000
1564646399999,2019-08-01 07:59,10000,9851.0299977943000000,9876.0018933679000000,10000.00000000
1564660799999,2019-08-01 11:59,10000,9853.6707345142000000,9871.0416410854000000,10000.00000000
1564675199999,2019-08-01 15:59,10000,9904.1117729842000000,9893.2272802384000000,10000.00000000
1564689599999,2019-08-01 19:59,10000,10171.0239896881000000,9950.8002517363000000,10000.00000000
1564703999999,2019-08-01 23:59,10000,10261.2837773503000000,10001.2062542773000000,10000.00000000
1564718399999,2019-08-02 03:59,10000,10222.4936297269000000,9922.3469203495000000,10000.00000000
1564732799999,2019-08-02 07:59,10000,10416.0289710565000000,10029.4307005783000000,10000.00000000
1564747199999,2019-08-02 11:59,10000,10352.4534817849000000,9958.0407052351000000,10000.00000000
1564761599999,2019-08-02 15:59,10000,10495.8346062358000000,9950.1245691952000000,10000.00000000
1564775999999,2019-08-02 19:59,10000,10329.9429320677000000,9856.7986014823000000,10000.00000000
1564790399999,2019-08-02 23:59,10000,10408.4133632875000000,9907.0360075885000000,10000.00000000
1564804799999,2019-08-03 03:59,10000,10660.3910764444000000,9982.7620068874000000,10000.00000000
1564819199999,2019-08-03 07:59,10000,10709.1111853666000000,9992.0883572014000000,10000.00000000
1564833599999,2019-08-03 11:59,10000,10626.1702934824000000,9961.8087407278000000,10000.00000000
1564847999999,2019-08-03 15:59,10000,10615.4194290085000000,9944.1460256233000000,10000.00000000
1564862399999,2019-08-03 19:59,10000,10731.6810774820000000,9971.5097885692000000,10000.00000000
1564876799999,2019-08-03 23:59,10000,10698.3108688942000000,9968.6272473958000000,10000.00000000
1564891199999,2019-08-04 03:59,10000,10637.1486371494000000,9867.6885998830000000,10000.00000000
1564905599999,2019-08-04 07:59,10000,10553.0604589000000000,9830.2769236084000000,10000.00000000
1564919999999,2019-08-04 11:59,10000,10551.6362413432000000,9859.6888114792000000,10000.00000000
1564934399999,2019-08-04 15:59,10000,10824.2057666755000000,9934.1106648295000000,10000.00000000
1564948799999,2019-08-04 19:59,10000,10801.4479569658000000,9929.5188695212000000,10000.00000000
